# German seed
der	det
die	det
das	det
ein	det
eine	det
mein	det
dein	det
sein	det
Hund	noun
Katze	noun
Haus	noun
Auto	noun
Buch	noun
Wasser	noun
Baum	noun
Mann	noun
Frau	noun
Kind	noun
Tag	noun
Jahr	noun
Zeit	noun
Welt	noun
Leben	noun
Hand	noun
Auge	noun
Essen	noun
Arbeit	noun
Stadt	noun
Ort	noun
Sache	noun
Weg	noun
groß	adj
klein	adj
neu	adj
alt	adj
gut	adj
schlecht	adj
hoch	adj
niedrig	adj
lang	adj
kurz	adj
heiß	adj
kalt	adj
rot	adj
blau	adj
grün	adj
schwarz	adj
weiß	adj
schwer	adj
leicht	adj
schnell	adj
langsam	adj
stark	adj
schwach	adj
schön	adj
hässlich	adj
glücklich	adj
traurig	adj
jung	adj
gehen	verb
kommen	verb
sehen	verb
wissen	verb
wollen	verb
machen	verb
nehmen	verb
geben	verb
finden	verb
laufen	verb
essen	verb
trinken	verb
schlafen	verb
lesen	verb
schreiben	verb
sprechen	verb
hören	verb
denken	verb
schnell	adv
langsam	adv
sehr	adv
jetzt	adv
dann	adv
hier	adv
dort	adv
immer	adv
nie	adv
in	prep
auf	prep
an	prep
zu	prep
von	prep
mit	prep
für	prep
ohne	prep
